variables,units,values,description
rna_I,kg*m**2,"[1.14930678e+08 2.20354030e+07 1.87597425e+07 0.00000000e+00
 5.03710467e+05 0.00000000e+00]",
rna_cg,m,[-1.13197635  0.          0.50875268],
tower_mass,kg,[375828.59408476],
monopile_mass,kg,[519458.38781253],
tower_center_of_mass,m,[13.64950538],
tower_I_base,kg*m**2,"[5.62337848e+09 5.62337848e+09 6.75351331e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
soil.d0,m,[8.],
suctionpile_depth,m,[25.],
G_soil,Pa,[1.4e+08],
nu_soil,,[0.4],
soil.k_usr,N/m,[-1. -1. -1. -1. -1. -1.],
wind1.Uref,m/s,[11.73732],
wind_reference_height,m,[90.],
wind1.z,m,"[-55.         -46.66666667 -38.33333333 -30.         -20.
 -10.           0.           3.33333333   6.66666667  10.
  18.62222222  27.24444444  35.86666667  44.48888889  53.11111111
  61.73333333  70.35555556  78.97777778  87.6       ]",
z0,m,[0.],
shearExp,,[0.1],
wind1.windLoads.U,m/s,"[ 0.          0.          0.          0.          0.          0.
  0.          8.4417516   9.04764534  9.42203459 10.02646506 10.41531693
 10.70566861 10.93880424 11.13430806 11.3030765  11.45182055 11.58497725
 11.70563842]",
wind1.d,m,"[8.         7.2968709  6.59374181 5.89061271 5.81037014 5.73012756
 5.64988498 5.64988498 5.64988498 5.64988498 5.64988498 5.64988498
 5.64988497 5.64988496 5.64988495 5.64988494 5.48207058 5.31425622
 5.14644186]",
beta_wind,deg,[0.],
rho_air,kg/m**3,[1.225],
mu_air,kg/m/s,[1.7934e-05],
cd_usr,,[-1.],
rho_water,kg/m**3,[1025.],
Uc,m/s,[0.],mean current speed
Hsig_wave,m,[4.52],
Tsig_wave,s,[9.52],
wind1.waveLoads.U,m/s,"[0.         0.         0.         0.71725905 0.80616267 1.09491257
 1.65508933 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",
wind1.waveLoads.A,m/s**2,"[0.         0.         0.         0.47338987 0.53206612 0.72264061
 1.09235641 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",
wind1.waveLoads.p,N/m**2,"[     0.              0.              0.         311389.1416792
 212094.47541868 115542.73105791  22716.363445        0.
      0.              0.              0.              0.
      0.              0.              0.              0.
      0.              0.              0.        ]",
beta_wave,deg,[0.],
mu_water,kg/m/s,[0.0013351],
cm,,[0.],
wind1.distLoads.windLoads_Px,N/m,"[  0.           0.           0.           0.           0.
   0.           0.         154.40341646 181.16420891 199.14692399
 230.54863794 251.89210195 268.23762029 281.60245377 292.97664959
 302.91887832 300.57999063 296.80907886 291.79203634]",
wind1.distLoads.windLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
wind1.distLoads.windLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
wind1.distLoads.windLoads_qdyn,N/m**2,"[ 0.          0.          0.          0.          0.          0.
  0.         43.64869165 50.13918029 54.37452566 61.57462596 66.44328141
 70.19944599 73.29018083 75.93334973 78.25271724 80.32581871 82.2046649
 83.92595709]",
wind1.distLoads.windLoads_z,m,"[-55.         -46.66666667 -38.33333333 -30.         -20.
 -10.           0.           3.33333333   6.66666667  10.
  18.62222222  27.24444444  35.86666667  44.48888889  53.11111111
  61.73333333  70.35555556  78.97777778  87.6       ]",
wind1.distLoads.windLoads_beta,deg,[0.],
wind1.distLoads.waveLoads_Px,N/m,"[   0.            0.            0.          971.1344686  1249.71327642
 2453.02022497 5605.08840194    0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.        ]",
wind1.distLoads.waveLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
wind1.distLoads.waveLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
wind1.distLoads.waveLoads_qdyn,N/m**2,"[     0.              0.              0.         311652.80270994
 212427.54827157 116157.13324387  24120.26530498      0.
      0.              0.              0.              0.
      0.              0.              0.              0.
      0.              0.              0.        ]",
wind1.distLoads.waveLoads_z,m,"[-55.         -46.66666667 -38.33333333 -30.         -20.
 -10.           0.           3.33333333   6.66666667  10.
  18.62222222  27.24444444  35.86666667  44.48888889  53.11111111
  61.73333333  70.35555556  78.97777778  87.6       ]",
wind1.distLoads.waveLoads_beta,deg,[0.],
yaw,deg,[0.],
transition_piece_I,kg*m**2,"[399015.00380968 399015.00380968 798030.00761936      0.
      0.              0.        ]",
gravity_foundation_I,kg*m**2,[0. 0. 0. 0. 0. 0.],
pre1.rna_F,N,[ 1284744.19620519        0.         -2914124.84400512],
pre1.rna_M,N*m,[ 3963732.76208099 -2275104.79420872  -346781.68192839],
pre1.z_soil,N/m,"[-25.         -22.22222222 -19.44444444 -16.66666667 -13.88888889
 -11.11111111  -8.33333333  -5.55555556  -2.77777778  -0.        ]",
pre1.k_soil,N/m,"[[1.83915789e+10 3.33013333e+12 1.83915789e+10 3.33013333e+12
  1.21333333e+10 4.77866667e+10]
 [1.66624561e+10 2.38414388e+12 1.66624561e+10 2.38414388e+12
  1.12000000e+10 4.77866667e+10]
 [1.49333333e+10 1.64300125e+12 1.49333333e+10 1.64300125e+12
  1.02666667e+10 4.77866667e+10]
 [1.32042105e+10 1.08109959e+12 1.32042105e+10 1.08109959e+12
  9.33333333e+09 4.77866667e+10]
 [1.14750877e+10 6.72833044e+11 1.14750877e+10 6.72833044e+11
  8.40000000e+09 4.77866667e+10]
 [9.74596491e+09 3.92595763e+11 9.74596491e+09 3.92595763e+11
  7.46666667e+09 4.77866667e+10]
 [8.01684211e+09 2.14781893e+11 8.01684211e+09 2.14781893e+11
  6.53333333e+09 4.77866667e+10]
 [6.28771930e+09 1.13785581e+11 6.28771930e+09 1.13785581e+11
  5.60000000e+09 4.77866667e+10]
 [4.55859649e+09 6.40009755e+10 4.55859649e+09 6.40009755e+10
  4.66666667e+09 4.77866667e+10]
 [2.82947368e+09 3.98222222e+10 2.82947368e+09 3.98222222e+10
  3.73333333e+09 4.77866667e+10]]",
tower1.z,m,"[-55.         -46.66666667 -38.33333333 -30.         -20.
 -10.           0.           3.33333333   6.66666667  10.
  18.62222222  27.24444444  35.86666667  44.48888889  53.11111111
  61.73333333  70.35555556  78.97777778  87.6       ]",
tower1.E,N/m**2,"[2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11]",
tower1.G,N/m**2,"[8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10
 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10
 8.08e+10 8.08e+10]",
tower1.rho,kg/m**3,"[8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.
 8500. 8500. 8500. 8500. 8500. 8500.]",
tower1.d,m,"[8.         7.2968709  6.59374181 5.89061271 5.81037014 5.73012756
 5.64988498 5.64988498 5.64988498 5.64988498 5.64988498 5.64988498
 5.64988497 5.64988496 5.64988495 5.64988494 5.48207058 5.31425622
 5.14644186]",
tower1.t,m,"[0.02464586 0.02464586 0.02464586 0.04808541 0.04808541 0.04808541
 0.03852236 0.03852236 0.03852236 0.02958243 0.02958243 0.02958243
 0.01801061 0.01801061 0.01801061 0.0449847  0.0449847  0.0449847 ]",
tower1.kidx,,[0. 1. 2. 3.],
tower1.kx,N/m,[1.83915789e+10 1.63166316e+10 1.11292632e+10 5.94189474e+09],
tower1.ky,N/m,[1.83915789e+10 1.63166316e+10 1.11292632e+10 5.94189474e+09],
tower1.kz,N/m,[1.21333333e+10 0.00000000e+00 0.00000000e+00 0.00000000e+00],
tower1.ktx,N/m,[3.33013333e+12 2.23591535e+12 6.16785588e+11 1.03828660e+11],
tower1.kty,N/m,[3.33013333e+12 2.23591535e+12 6.16785588e+11 1.03828660e+11],
tower1.ktz,N/m,[4.77866667e+10 4.77866667e+10 4.77866667e+10 4.77866667e+10],
tower1.midx,,[9. 0.],
tower1.m,kg,[100000.      0.],
tower1.mIxx,kg*m**2,[399015.00380968      0.        ],
tower1.mIyy,kg*m**2,[399015.00380968      0.        ],
tower1.mIzz,kg*m**2,[798030.00761936      0.        ],
tower1.mIxy,kg*m**2,[0. 0.],
tower1.mIxz,kg*m**2,[0. 0.],
tower1.mIyz,kg*m**2,[0. 0.],
tower1.mrhox,m,[0. 0.],
tower1.mrhoy,m,[0. 0.],
tower1.mrhoz,m,[0. 0.],
tower1.plidx,,[18.],
tower1.Fx,N,[1284744.19620519],
tower1.Fy,N,[0.],
tower1.Fz,N,[-2914124.84400512],
tower1.Mxx,N*m,[3963732.76208099],
tower1.Myy,N*m,[-2275104.79420872],
tower1.Mzz,N*m,[-346781.68192839],
tower1.Px,N/m,"[   0.            0.            0.          971.1344686  1249.71327642
 2453.02022497 5605.08840194  154.40341646  181.16420891  199.14692399
  230.54863794  251.89210195  268.23762029  281.60245377  292.97664959
  302.91887832  300.57999063  296.80907886  291.79203634]",
tower1.Py,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
tower1.Pz,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
E_full,N/m**2,"[2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11]",
