variables,units,values,description
tower2.torsion_modes,,"[[ -4576.00285278  21672.93450731 -42043.3740674   36656.31018896
  -11870.69674572]
 [  6842.18578667 -30487.35566022  53852.37899787 -45395.28682481
   15030.69095048]
 [     0.              0.              0.              0.
       0.        ]]",
tower2.fore_aft_freqs,Hz,[0.40000013 2.0056912  5.50822318],
tower2.side_side_freqs,Hz,[0.40000013 2.0056912  5.50822318],
tower2.torsion_freqs,Hz,[ 7.77732739 18.70024336  0.        ],
tower2.tower_deflection,m,"[9.46385018e-06 7.53474000e-05 4.49373792e-04 1.43338576e-03
 2.56168136e-02 7.37873045e-02 1.44039226e-01 1.72283755e-01
 2.03149366e-01 2.36498625e-01 3.35694667e-01 4.52305855e-01
 5.83506406e-01 7.30487898e-01 8.92801637e-01 1.06660890e+00
 1.24594837e+00 1.42738159e+00 1.60970052e+00]",
tower2.top_deflection,m,[1.60970052],
tower2.tower_Fz,N,"[-10742356.97837923 -10370149.10675949 -10035757.01385633
  -9305128.37327847  -8584603.69985742  -7874183.08935803
  -7685498.99471552  -7496814.90007293  -7308130.80543045
  -5952103.2298092   -5576708.65418793  -5201314.07856667
  -4972292.73597081  -4743271.39337491  -4514250.05077903
  -3953490.74651594  -3409776.13167632  -2883106.12368951]",
tower2.tower_Vx,N,"[ -174049.560421   -1403420.27764431 -6408390.56610895  2098162.09324977
  2080500.35927675  2040969.8167512   2018232.30394104  1992693.81964887
  1963421.82086805  1877833.93637867  1779476.42843316  1672171.74489406
  1556389.63370978  1435504.97574097  1309098.05482239  1184514.22467902
  1058682.09633858   935765.88964887]",
tower2.tower_Vy,N,"[-1.58450803e+03 -1.28802255e+04 -6.08028416e+04  7.82469297e+00
  1.63140913e+01  2.49059299e+01  8.31290063e+00  9.32008964e+00
  1.03258500e+01  2.48888590e+01  3.15595440e+01  3.81978902e+01
  2.86062385e+01  3.51397749e+01  4.16242539e+01  1.13126340e+02
  1.16425257e+02  1.19884880e+02]",
tower2.tower_Mxx,N*m,"[   -5407.50172744   -82756.13317558  -802814.86603265 -1810049.12787141
 -1805835.61712743 -1799816.66291799 -1797496.6850646  -1794965.83966662
 -1792230.72171314 -1785000.95158758 -1776371.93148182 -1766586.54940562
 -1755383.24596747 -1742227.14200443 -1727361.07073281 -1711656.82853374
 -1697058.69518144 -1683674.55433178]",
tower2.tower_Myy,N*m,"[ 6.10991830e+05  9.37544364e+06  8.88298725e+07  1.82032456e+08
  1.60693938e+08  1.39478355e+08  1.32494210e+08  1.25573686e+08
  1.18732347e+08  1.01548262e+08  8.51002602e+07  6.95057732e+07
  5.48385882e+07  4.11467429e+07  2.85056669e+07  1.69825273e+07
  6.64641580e+06 -2.52246999e+06]",
tower2.tower_Mzz,N*m,"[  9109.8061874   23455.6355621   55823.7107929  147322.8457732
 147321.59724215 147320.3348373  147323.11164676 147322.60497751
 147322.09831175 147324.05795995 147322.74736594 147321.43679526
 147331.73255313 147330.42182244 147329.11111507 147312.51852749
 147311.49775242 147310.45332859]",
tower2.base_F,N,[ 2.10926633e+06  7.82469297e+00 -1.00357570e+07],
tower2.base_M,N*m,[-1.81219868e+06  2.03305775e+08  1.47322846e+05],
post2.axial_stress,N/m**2,"[-1.76536226e+07 -9.20391060e+06  9.83373314e+07  1.33730423e+08
  1.21109805e+08  1.07775798e+08  1.28721495e+08  1.21686091e+08
  1.14734439e+08  1.27716594e+08  1.05910401e+08  8.52747133e+07
  1.07074348e+08  7.71986872e+07  4.96873187e+07  1.09103258e+07
  2.32455886e+06 -7.14387642e+05]",
post2.shear_stress,N/m**2,"[  488991.3863619   4319482.70372387 21923482.53531387  3985967.92085323
  4008963.70640633  3990539.20269449  4957390.9753285   4895645.53094375
  4824873.45412266  6007930.36859296  5698529.74893845  5360984.31597461
  8197131.43630433  7573252.5815658   6920873.70589594  2560048.24424583
  2369350.05592714  2173037.8945045 ]",
post2.hoop_stress,N/m**2,"[       -0.                -0.         -19655544.32784509
 -15810030.67040671  -9775394.46624466  -4114730.67044136
   -934906.02814519   -121478.74971238   -135371.38720263
   -195880.70335606   -216269.26435788   -230839.75300548
   -398972.69607444   -414915.80631126   -428714.13076943
   -173059.33228489   -171980.80895435   -170279.50787667]",
post2.hoop_stress_euro,N/m**2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
post2.constr_stress,,"[0.06892832 0.0462583  0.45198564 0.55560601 0.49324216 0.42942162
 0.5049584  0.47596306 0.44891321 0.50012645 0.41526091 0.3349856
 0.42201845 0.30619106 0.20015819 0.04624664 0.01857088 0.0148937 ]",
post2.constr_shell_buckling,,"[0.108672   0.10638199 0.99974135 0.33259147 0.21013756 0.09820086
 0.04358383 0.03630217 0.03550687 0.05280733 0.05027949 0.04762044
 0.11987626 0.11665404 0.11329816 0.01747826 0.01556199 0.01366892]",
post2.constr_global_buckling,,"[0.14653492 0.22870851 0.9825663  0.99999992 0.91055452 0.81682134
 0.99999995 0.94952235 0.89975593 0.99999996 0.84655455 0.70189645
 0.9718843  0.76089001 0.56733491 0.15191928 0.09348957 0.06818175]",
post2.turbine_F,N,[0. 0. 0.],Total force on tower+rna
post2.turbine_M,N*m,[0. 0. 0.],Total x-moment on tower+rna measured at base
